Sum,YearMonth,Category,typeActivity
270,2017-01,Book,Titles Added
274,2017-01,Book,Volumes Added
338,2017-01,Book,Titles Added
26,2017-01,Book,Titles Added
-398,2017-01,Book,Titles Withdrawn
-29,2017-01,Book,Titles Withdrawn
372,2017-01,Book,Volumes Added
34,2017-01,Book,Volumes Added
-1089,2017-01,Book,Volumes Withdrawn
8,2017-01,Document,Titles Added
15,2017-01,Document,Volumes Added
1,2017-01,eBook,Titles Added
1,2017-01,eBook,Volumes Added
1,2017-01,eSerials,Titles Added
1,2017-01,eSerials,Volumes Added
3,2017-01,Media,Volumes Added
19,2017-01,Media,Titles Added
19,2017-01,Media,Volumes Added
2,2017-01,Serials,Titles Added
-42,2017-01,Serials,Titles Withdrawn
8,2017-01,Serials,Volumes Added
-515,2017-01,Serials,Volumes Withdrawn
2,2017-01,Serials,Titles Added
-3,2017-01,Serials,Titles Withdrawn
-9,2017-01,Serials,Titles Withdrawn
2,2017-01,Serials,Volumes Added
54,2017-01,Serials,Volumes Added
-173,2017-01,Serials,Volumes Withdrawn
-917,2017-01,Serials,Volumes Withdrawn
372,2017-01,Book,Titles Added
374,2017-01,Book,Volumes Added
124,2017-01,eBook,Titles Added
125,2017-01,eBook,Volumes Added
293,2017-02,Book,Titles Added
295,2017-02,Book,Volumes Added
1,2017-02,eBook,Titles Added
1,2017-02,eBook,Volumes Added
267,2017-02,Book,Titles Added
22,2017-02,Book,Titles Added
-657,2017-02,Book,Titles Withdrawn
-79,2017-02,Book,Titles Withdrawn
289,2017-02,Book,Volumes Added
24,2017-02,Book,Volumes Added
-1425,2017-02,Book,Volumes Withdrawn
-121,2017-02,Book,Volumes Withdrawn
3,2017-02,Document,Titles Added
7,2017-02,Document,Volumes Added
1,2017-02,eDocument,Titles Added
1,2017-02,eDocument,Volumes Added
1,2017-02,Media,Titles Added
1,2017-02,Media,Volumes Added
6,2017-02,Media,Titles Added
7,2017-02,Media,Volumes Added
8,2017-02,Media,Volumes Added
13,2017-02,Media,Titles Added
13,2017-02,Media,Volumes Added
-1,2017-02,Media,Titles Withdrawn
-6,2017-02,Media,Volumes Withdrawn
1,2017-02,Other,Titles Added
1,2017-02,Other,Volumes Added
-33,2017-02,Serials,Titles Withdrawn
3,2017-02,Serials,Volumes Added
-561,2017-02,Serials,Volumes Withdrawn
-7,2017-02,Serials,Titles Withdrawn
-12,2017-02,Serials,Titles Withdrawn
58,2017-02,Serials,Volumes Added
-9,2017-02,Serials,Volumes Withdrawn
-43,2017-02,Serials,Volumes Withdrawn
252,2017-02,Book,Titles Added
256,2017-02,Book,Volumes Added
225,2017-02,eBook,Titles Added
225,2017-02,eBook,Volumes Added
340,2017-03,Book,Titles Added
342,2017-03,Book,Volumes Added
309,2017-03,Book,Titles Added
14,2017-03,Book,Titles Added
-478,2017-03,Book,Titles Withdrawn
-137,2017-03,Book,Titles Withdrawn
347,2017-03,Book,Volumes Added
17,2017-03,Book,Volumes Added
-1042,2017-03,Book,Volumes Withdrawn
-158,2017-03,Book,Volumes Withdrawn
14,2017-03,Document,Volumes Added
7,2017-03,eDocument,Titles Added
7,2017-03,eDocument,Volumes Added
1,2017-03,Media,Volumes Added
5,2017-03,Media,Titles Added
5,2017-03,Media,Volumes Added
1,2017-03,Media,Volumes Added
6,2017-03,Other,Titles Added
6,2017-03,Other,Volumes Added
1,2017-03,Serials,Titles Added
-9,2017-03,Serials,Titles Withdrawn
4,2017-03,Serials,Volumes Added
-105,2017-03,Serials,Volumes Withdrawn
-2,2017-03,Serials,Titles Withdrawn
-51,2017-03,Serials,Titles Withdrawn
55,2017-03,Serials,Volumes Added
-2,2017-03,Serials,Volumes Withdrawn
-488,2017-03,Serials,Volumes Withdrawn
302,2017-03,Book,Titles Added
302,2017-03,Book,Volumes Added
408,2017-03,eBook,Titles Added
425,2017-03,eBook,Volumes Added
2,2017-04,Book,Volumes Added
311,2017-04,Book,Titles Added
327,2017-04,Book,Volumes Added
235,2017-04,eBook,Titles Added
235,2017-04,eBook,Volumes Added
311,2017-05,Book,Titles Added
311,2017-05,Book,Volumes Added
17,2017-05,eBook,Titles Added
17,2017-05,eBook,Volumes Added
185,2017-06,Book,Titles Added
186,2017-06,Book,Volumes Added
2,2017-06,eBook,Titles Added
2,2017-06,eBook,Volumes Added
16,2017-07,Book,Titles Added
16,2017-07,Book,Volumes Added
379,2017-07,Book,Titles Added
30,2017-07,Book,Titles Added
-209,2017-07,Book,Titles Withdrawn
422,2017-07,Book,Volumes Added
31,2017-07,Book,Volumes Added
-228,2017-07,Book,Volumes Withdrawn
1,2017-07,Document,Titles Added
5,2017-07,Document,Titles Added
1,2017-07,Document,Volumes Added
11,2017-07,Document,Volumes Added
1,2017-07,Media,Titles Added
1,2017-07,Media,Volumes Added
1,2017-07,Other,Titles Added
1,2017-07,Other,Volumes Added
2,2017-07,Serials,Titles Added
-1,2017-07,Serials,Titles Withdrawn
17,2017-07,Serials,Volumes Added
-214,2017-07,Serials,Volumes Withdrawn
-6,2017-07,Serials,Titles Withdrawn
24,2017-07,Serials,Volumes Added
-43,2017-07,Serials,Volumes Withdrawn
456,2017-07,Book,Titles Added
456,2017-07,Book,Volumes Added
83,2017-07,eBook,Titles Added
83,2017-07,eBook,Volumes Added
206,2017-08,Book,Titles Added
206,2017-08,Book,Volumes Added
167,2017-08,Book,Titles Added
29,2017-08,Book,Titles Added
-22,2017-08,Book,Titles Withdrawn
190,2017-08,Book,Volumes Added
31,2017-08,Book,Volumes Added
-30,2017-08,Book,Volumes Withdrawn
6,2017-08,Document,Titles Added
88,2017-08,Document,Volumes Added
-1,2017-08,Media,Titles Withdrawn
2,2017-08,Media,Volumes Added
-1,2017-08,Media,Volumes Withdrawn
6,2017-08,Media,Titles Added
-3,2017-08,Media,Titles Withdrawn
6,2017-08,Media,Volumes Added
-3,2017-08,Media,Volumes Withdrawn
1,2017-08,Media,Volumes Added
29,2017-08,Other,Titles Added
29,2017-08,Other,Volumes Added
8,2017-08,Serials,Titles Added
-21,2017-08,Serials,Titles Withdrawn
358,2017-08,Serials,Volumes Added
-1133,2017-08,Serials,Volumes Withdrawn
-2,2017-08,Serials,Titles Withdrawn
30,2017-08,Serials,Volumes Added
-15,2017-08,Serials,Volumes Withdrawn
239,2017-08,Book,Titles Added
249,2017-08,Book,Volumes Added
58,2017-08,eBook,Titles Added
85,2017-08,eBook,Volumes Added
73,2017-09,Book,Titles Added
73,2017-09,Book,Volumes Added
103,2017-09,Book,Titles Added
11,2017-09,Book,Titles Added
-3,2017-09,Book,Titles Withdrawn
108,2017-09,Book,Volumes Added
12,2017-09,Book,Volumes Added
-3,2017-09,Book,Volumes Withdrawn
3,2017-09,Document,Titles Added
4,2017-09,Document,Volumes Added
8,2017-09,Media,Titles Added
8,2017-09,Media,Volumes Added
2,2017-09,Media,Volumes Added
4,2017-09,Serials,Titles Added
-141,2017-09,Serials,Titles Withdrawn
285,2017-09,Serials,Volumes Added
-3617,2017-09,Serials,Volumes Withdrawn
18,2017-09,Serials,Volumes Added
294,2017-09,Book,Titles Added
294,2017-09,Book,Volumes Added
85,2017-09,eBook,Titles Added
86,2017-09,eBook,Volumes Added
231,2017-10,Book,Titles Added
232,2017-10,Book,Volumes Added
188,2017-10,Book,Titles Added
29,2017-10,Book,Titles Added
-28,2017-10,Book,Titles Withdrawn
189,2017-10,Book,Volumes Added
32,2017-10,Book,Volumes Added
-74,2017-10,Book,Volumes Withdrawn
1,2017-10,Document,Titles Added
12,2017-10,Document,Volumes Added
1,2017-10,eBook,Titles Added
1,2017-10,eBook,Volumes Added
9,2017-10,Media,Titles Added
10,2017-10,Media,Volumes Added
-1,2017-10,Media,Titles Withdrawn
-4,2017-10,Media,Titles Withdrawn
2,2017-10,Media,Volumes Added
-1,2017-10,Media,Volumes Withdrawn
-26,2017-10,Media,Volumes Withdrawn
-93,2017-10,Serials,Titles Withdrawn
8,2017-10,Serials,Volumes Added
-6873,2017-10,Serials,Volumes Withdrawn
1,2017-10,Serials,Titles Added
-124,2017-10,Serials,Titles Withdrawn
25,2017-10,Serials,Volumes Added
-1256,2017-10,Serials,Volumes Withdrawn
306,2017-10,Book,Titles Added
305,2017-10,Book,Volumes Added
100,2017-10,eBook,Titles Added
104,2017-10,eBook,Volumes Added
169,2017-11,Book,Titles Added
172,2017-11,Book,Volumes Added
194,2017-11,Book,Titles Added
11,2017-11,Book,Titles Added
-29,2017-11,Book,Titles Withdrawn
197,2017-11,Book,Volumes Added
11,2017-11,Book,Volumes Added
-68,2017-11,Book,Volumes Withdrawn
-1,2017-11,Book,Volumes Withdrawn
8,2017-11,Document,Volumes Added
1,2017-11,eBook,Titles Added
1,2017-11,eBook,Volumes Added
14,2017-11,Media,Volumes Added
10,2017-11,Media,Titles Added
23,2017-11,Media,Volumes Added
2,2017-11,Serials,Titles Added
-1,2017-11,Serials,Titles Withdrawn
44,2017-11,Serials,Volumes Added
-48,2017-11,Serials,Volumes Withdrawn
-2,2017-11,Serials,Titles Withdrawn
34,2017-11,Serials,Volumes Added
-21,2017-11,Serials,Volumes Withdrawn
222,2017-11,Book,Titles Added
222,2017-11,Book,Volumes Added
87,2017-11,eBook,Titles Added
87,2017-11,eBook,Volumes Added
157,2017-12,Book,Titles Added
157,2017-12,Book,Volumes Added
277,2017-12,Book,Titles Added
17,2017-12,Book,Titles Added
-4,2017-12,Book,Titles Withdrawn
277,2017-12,Book,Volumes Added
18,2017-12,Book,Volumes Added
-5,2017-12,Book,Volumes Withdrawn
5,2017-12,Document,Volumes Added
1,2017-12,eBook,Titles Added
13,2017-12,eBook,Volumes Added
1,2017-12,Media,Volumes Added
1,2017-12,Media,Titles Added
4,2017-12,Media,Volumes Added
2,2017-12,Serials,Titles Added
9,2017-12,Serials,Volumes Added
31,2017-12,Serials,Volumes Added
242,2017-12,Book,Titles Added
242,2017-12,Book,Volumes Added
66,2017-12,eBook,Titles Added
66,2017-12,eBook,Volumes Added
609,2018-01,Book,Titles Added
42,2018-01,Book,Titles Added
-14,2018-01,Book,Titles Withdrawn
614,2018-01,Book,Volumes Added
45,2018-01,Book,Volumes Added
-86,2018-01,Book,Volumes Withdrawn
1,2018-01,Continuing,Titles Added
3,2018-01,Continuing,Volumes Added
-2,2018-01,Continuing,Titles Withdrawn
40,2018-01,Continuing,Volumes Added
-38,2018-01,Continuing,Volumes Withdrawn
14,2018-01,Document,Titles Added
16,2018-01,Document,Volumes Added
2,2018-01,eBook,Titles Added
-3,2018-01,eBook,Titles Withdrawn
2,2018-01,eBook,Volumes Added
-3,2018-01,eBook,Volumes Withdrawn
1,2018-01,Media,Titles Added
1,2018-01,Media,Volumes Added
2,2018-01,Media,Volumes Added
26,2018-01,Media,Titles Added
27,2018-01,Media,Volumes Added
1,2018-01,Media,Titles Added
2,2018-01,Media,Titles Added
26,2018-01,Media,Volumes Added
1,2018-01,Media,Volumes Added
3,2018-01,Other,Titles Added
3,2018-01,Other,Volumes Added
2,2018-01,Other,Titles Added
2,2018-01,Other,Volumes Added
188,2018-01,Book,Titles Added
191,2018-01,Book,Volumes Added
480,2018-02,Book,Titles Added
32,2018-02,Book,Titles Added
-26,2018-02,Book,Titles Withdrawn
491,2018-02,Book,Volumes Added
32,2018-02,Book,Volumes Added
-77,2018-02,Book,Volumes Withdrawn
61,2018-02,Continuing,Volumes Added
-96,2018-02,Continuing,Volumes Withdrawn
1,2018-02,Continuing,Titles Added
-13,2018-02,Continuing,Titles Withdrawn
42,2018-02,Continuing,Volumes Added
-205,2018-02,Continuing,Volumes Withdrawn
3,2018-02,Document,Titles Added
-1,2018-02,Document,Titles Withdrawn
-2,2018-02,Document,Titles Withdrawn
5,2018-02,Document,Volumes Added
-11,2018-02,Document,Volumes Withdrawn
-9,2018-02,Document,Volumes Withdrawn
1,2018-02,eBook,Titles Added
1,2018-02,eBook,Volumes Added
2,2018-02,Media,Volumes Added
14,2018-02,Media,Titles Added
-1,2018-02,Media,Titles Withdrawn
14,2018-02,Media,Volumes Added
-1,2018-02,Media,Volumes Withdrawn
1,2018-02,Media,Volumes Added
18,2018-02,Other,Titles Added
18,2018-02,Other,Volumes Added
10,2018-02,Other,Titles Added
10,2018-02,Other,Volumes Added
86,2018-02,Book,Titles Added
86,2018-02,Book,Volumes Added
625,2018-03,Book,Titles Added
11,2018-03,Book,Titles Added
-9,2018-03,Book,Titles Withdrawn
-1,2018-03,Book,Titles Withdrawn
693,2018-03,Book,Volumes Added
11,2018-03,Book,Volumes Added
-10,2018-03,Book,Volumes Withdrawn
-1,2018-03,Book,Volumes Withdrawn
3,2018-03,Continuing,Titles Added
-2,2018-03,Continuing,Titles Withdrawn
233,2018-03,Continuing,Volumes Added
-33,2018-03,Continuing,Volumes Withdrawn
3,2018-03,Continuing,Titles Added
-105,2018-03,Continuing,Titles Withdrawn
28,2018-03,Continuing,Volumes Added
-1325,2018-03,Continuing,Volumes Withdrawn
-46,2018-03,Document,Volumes Withdrawn
2,2018-03,eBook,Titles Added
-3,2018-03,eBook,Titles Withdrawn
2,2018-03,eBook,Volumes Added
-3,2018-03,eBook,Volumes Withdrawn
1,2018-03,eDoc,Titles Added
1,2018-03,eDoc,Volumes Added
2,2018-03,Media,Volumes Added
6,2018-03,Media,Titles Added
8,2018-03,Media,Volumes Added
2,2018-03,Media,Titles Added
3,2018-03,Media,Volumes Added
16,2018-03,Other,Titles Added
16,2018-03,Other,Volumes Added
32,2018-03,Other,Titles Added
32,2018-03,Other,Volumes Added
104,2018-03,Book,Titles Added
123,2018-03,Book,Volumes Added
655,2018-04,Book,Titles Added
5,2018-04,Book,Titles Added
-76,2018-04,Book,Titles Withdrawn
-2,2018-04,Book,Titles Withdrawn
682,2018-04,Book,Volumes Added
5,2018-04,Book,Volumes Added
-104,2018-04,Book,Volumes Withdrawn
-2,2018-04,Book,Volumes Withdrawn
-3,2018-04,Continuing,Titles Withdrawn
12,2018-04,Continuing,Volumes Added
-68,2018-04,Continuing,Volumes Withdrawn
-30,2018-04,Continuing,Titles Withdrawn
27,2018-04,Continuing,Volumes Added
-1,2018-04,Continuing,Volumes Withdrawn
-149,2018-04,Continuing,Volumes Withdrawn
53,2018-04,Document,Titles Added
-29,2018-04,Document,Titles Withdrawn
1,2018-04,Document,Volumes Added
-1794,2018-04,Document,Volumes Withdrawn
1,2018-04,eBook,Titles Added
1,2018-04,eBook,Volumes Added
-7,2018-04,Media,Titles Withdrawn
-7,2018-04,Media,Volumes Withdrawn
5,2018-04,Media,Titles Added
5,2018-04,Media,Volumes Added
1,2018-04,Media,Volumes Added
15,2018-04,Other,Titles Added
15,2018-04,Other,Volumes Added
2,2018-04,Other,Titles Added
2,2018-04,Other,Volumes Added
479,2018-04,Book,Titles Added
479,2018-04,Book,Volumes Added
115,2018-05,eBook,Titles Added
115,2018-05,eBook,Volumes Added
403,2018-05,Book,Titles Added
19,2018-05,Book,Titles Added
-9,2018-05,Book,Titles Withdrawn
-110,2018-05,Book,Titles Withdrawn
413,2018-05,Book,Volumes Added
20,2018-05,Book,Volumes Added
-20,2018-05,Book,Volumes Withdrawn
8,2018-05,Continuing,Volumes Added
-28,2018-05,Continuing,Volumes Withdrawn
1,2018-05,Continuing,Titles Added
-47,2018-05,Continuing,Titles Withdrawn
49,2018-05,Continuing,Volumes Added
-837,2018-05,Continuing,Volumes Withdrawn
1,2018-05,Document,Titles Added
7,2018-05,Document,Titles Added
-5,2018-05,Document,Titles Withdrawn
2,2018-05,Document,Volumes Added
7,2018-05,Document,Volumes Added
-758,2018-05,Document,Volumes Withdrawn
3,2018-05,eBook,Titles Added
3,2018-05,eBook,Volumes Added
9,2018-05,Media,Titles Added
9,2018-05,Media,Volumes Added
1,2018-05,Media,Volumes Added
1,2018-05,Other,Titles Added
1,2018-05,Other,Volumes Added
24,2018-05,Other,Titles Added
24,2018-05,Other,Volumes Added
184,2018-05,Book,Titles Added
184,2018-05,Book,Volumes Added
1033,2018-06,Book,Titles Added
12,2018-06,Book,Titles Added
-90,2018-06,Book,Titles Withdrawn
-49,2018-06,Book,Titles Withdrawn
1069,2018-06,Book,Volumes Added
14,2018-06,Book,Volumes Added
-111,2018-06,Book,Volumes Withdrawn
-49,2018-06,Book,Volumes Withdrawn
2,2018-06,Continuing,Titles Added
12,2018-06,Continuing,Volumes Added
2,2018-06,Continuing,Titles Added
-9,2018-06,Continuing,Titles Withdrawn
23,2018-06,Continuing,Volumes Added
-1,2018-06,Continuing,Volumes Withdrawn
-751,2018-06,Continuing,Volumes Withdrawn
1,2018-06,Document,Titles Added
1,2018-06,Document,Volumes Added
-1,2018-06,Media,Titles Withdrawn
-1,2018-06,Media,Volumes Withdrawn
-1,2018-06,Media,Volumes Withdrawn
-39,2018-06,Media,Titles Withdrawn
-39,2018-06,Media,Volumes Withdrawn
7,2018-06,Media,Titles Added
7,2018-06,Media,Volumes Added
1,2018-06,Media,Volumes Added
-4,2018-06,Media,Volumes Withdrawn
1,2018-06,Other,Titles Added
1,2018-06,Other,Volumes Added
-1,2018-06,Other,Titles Withdrawn
-1,2018-06,Other,Volumes Withdrawn
21,2018-06,Other,Titles Added
21,2018-06,Other,Volumes Added
6,2018-06,Book,Titles Added
6,2018-06,Book,Volumes Added
12,2018-07,eBook,Titles Added
12,2018-07,eBook,Volumes Added
585,2018-07,Book,Titles Added
21,2018-07,Book,Titles Added
-76,2018-07,Book,Titles Withdrawn
590,2018-07,Book,Volumes Added
21,2018-07,Book,Volumes Added
-91,2018-07,Book,Volumes Withdrawn
25,2018-07,Continuing,Volumes Added
4,2018-07,Continuing,Titles Added
49,2018-07,Continuing,Volumes Added
-1,2018-07,Continuing,Volumes Withdrawn
-1,2018-07,Continuing,Volumes Withdrawn
1,2018-07,Document,Volumes Added
1,2018-07,eBook,Titles Added
-1,2018-07,eBook,Titles Withdrawn
1,2018-07,eBook,Volumes Added
-1,2018-07,eBook,Volumes Withdrawn
7,2018-07,Media,Titles Added
-49,2018-07,Media,Titles Withdrawn
10,2018-07,Media,Volumes Added
-71,2018-07,Media,Volumes Withdrawn
1,2018-07,Media,Volumes Added
56,2018-07,Other,Titles Added
56,2018-07,Other,Volumes Added
66,2018-07,Book,Titles Added
66,2018-07,Book,Volumes Added
585,2018-08,Book,Titles Added
33,2018-08,Book,Titles Added
-134,2018-08,Book,Titles Withdrawn
596,2018-08,Book,Volumes Added
37,2018-08,Book,Volumes Added
-133,2018-08,Book,Volumes Withdrawn
1,2018-08,Continuing,Titles Added
4,2018-08,Continuing,Volumes Added
-24,2018-08,Continuing,Titles Withdrawn
28,2018-08,Continuing,Volumes Added
-319,2018-08,Continuing,Volumes Withdrawn
-3,2018-08,Document,Volumes Withdrawn
-1,2018-08,eBook,Titles Withdrawn
-1,2018-08,eBook,Volumes Withdrawn
-43,2018-08,Media,Titles Withdrawn
14,2018-08,Media,Volumes Added
-81,2018-08,Media,Volumes Withdrawn
6,2018-08,Media,Titles Added
-1,2018-08,Media,Titles Withdrawn
10,2018-08,Media,Volumes Added
-1,2018-08,Media,Volumes Withdrawn
-840,2018-08,Media,Titles Withdrawn
1,2018-08,Media,Volumes Added
-840,2018-08,Media,Volumes Withdrawn
55,2018-08,Other,Titles Added
55,2018-08,Other,Volumes Added
4,2018-08,Other,Titles Added
4,2018-08,Other,Volumes Added
170,2018-08,Book,Titles Added
170,2018-08,Book,Volumes Added
410,2018-09,Book,Titles Added
13,2018-09,Book,Titles Added
-51,2018-09,Book,Titles Withdrawn
-1,2018-09,Book,Titles Withdrawn
431,2018-09,Book,Volumes Added
13,2018-09,Book,Volumes Added
-51,2018-09,Book,Volumes Withdrawn
-48,2018-09,Book,Volumes Withdrawn
2,2018-09,Continuing,Titles Added
7,2018-09,Continuing,Volumes Added
4,2018-09,Continuing,Titles Added
-1,2018-09,Continuing,Titles Withdrawn
-13,2018-09,Continuing,Titles Withdrawn
42,2018-09,Continuing,Volumes Added
-1,2018-09,Continuing,Volumes Withdrawn
-80,2018-09,Continuing,Volumes Withdrawn
3,2018-09,Document,Volumes Added
-297,2018-09,eMedia,Titles Withdrawn
-297,2018-09,eMedia,Volumes Withdrawn
1,2018-09,Media,Titles Added
-19,2018-09,Media,Titles Withdrawn
1,2018-09,Media,Volumes Added
-5,2018-09,Media,Volumes Withdrawn
11,2018-09,Media,Titles Added
-112,2018-09,Media,Titles Withdrawn
14,2018-09,Media,Volumes Added
-123,2018-09,Media,Volumes Withdrawn
-975,2018-09,Media,Titles Withdrawn
1,2018-09,Media,Volumes Added
-975,2018-09,Media,Volumes Withdrawn
-1,2018-09,Other,Titles Withdrawn
-1,2018-09,Other,Volumes Withdrawn
125,2018-09,Book,Titles Added
125,2018-09,Book,Volumes Added
538,2018-10,eBook,Titles Added
538,2018-10,eBook,Volumes Added
514,2018-10,Book,Titles Added
27,2018-10,Book,Titles Added
-91,2018-10,Book,Titles Withdrawn
620,2018-10,Book,Volumes Added
28,2018-10,Book,Volumes Added
-93,2018-10,Book,Volumes Withdrawn
-2,2018-10,Book,Volumes Withdrawn
1,2018-10,Continuing,Titles Added
-1,2018-10,Continuing,Titles Withdrawn
9,2018-10,Continuing,Volumes Added
9,2018-10,Continuing,Titles Added
-30,2018-10,Continuing,Titles Withdrawn
59,2018-10,Continuing,Volumes Added
-157,2018-10,Continuing,Volumes Withdrawn
-3,2018-10,Document,Titles Withdrawn
11,2018-10,Document,Volumes Added
-3,2018-10,Document,Volumes Withdrawn
-181,2018-10,eBook,Titles Withdrawn
-181,2018-10,eBook,Volumes Withdrawn
-1,2018-10,Media,Titles Withdrawn
1,2018-10,Media,Volumes Added
-1,2018-10,Media,Titles Withdrawn
-1,2018-10,Media,Volumes Withdrawn
9,2018-10,Media,Titles Added
9,2018-10,Media,Volumes Added
-1445,2018-10,Media,Titles Withdrawn
1,2018-10,Media,Volumes Added
-1445,2018-10,Media,Volumes Withdrawn
41,2018-10,Other,Titles Added
41,2018-10,Other,Volumes Added
113,2018-10,Book,Titles Added
113,2018-10,Book,Volumes Added
4,2018-11,eBook,Titles Added
4,2018-11,eBook,Volumes Added
1034,2018-11,eContinuing,Titles Added
1034,2018-11,eContinuing,Volumes Added
416,2018-11,Book,Titles Added
17,2018-11,Book,Titles Added
-829,2018-11,Book,Titles Withdrawn
-14,2018-11,Book,Titles Withdrawn
467,2018-11,Book,Volumes Added
16,2018-11,Book,Volumes Added
-836,2018-11,Book,Volumes Withdrawn
-16,2018-11,Book,Volumes Withdrawn
2,2018-11,Continuing,Titles Added
5,2018-11,Continuing,Volumes Added
1,2018-11,Continuing,Titles Added
-2,2018-11,Continuing,Titles Withdrawn
32,2018-11,Continuing,Volumes Added
-9,2018-11,Continuing,Volumes Withdrawn
7,2018-11,Document,Titles Added
9,2018-11,Document,Volumes Added
-3946,2018-11,eBook,Titles Withdrawn
-3946,2018-11,eBook,Volumes Withdrawn
4,2018-11,Media,Titles Added
5,2018-11,Media,Volumes Added
1,2018-11,Other,Titles Added
1,2018-11,Other,Volumes Added
155,2018-11,Book,Titles Added
155,2018-11,Book,Volumes Added
251,2018-12,Book,Titles Added
49,2018-12,Book,Titles Added
-59,2018-12,Book,Titles Withdrawn
265,2018-12,Book,Volumes Added
54,2018-12,Book,Volumes Added
-63,2018-12,Book,Volumes Withdrawn
1,2018-12,Continuing,Volumes Added
1,2018-12,Continuing,Titles Added
-1,2018-12,Continuing,Titles Withdrawn
52,2018-12,Continuing,Volumes Added
-54,2018-12,Continuing,Volumes Withdrawn
-1134,2018-12,eBook,Titles Withdrawn
-1134,2018-12,eBook,Volumes Withdrawn
2,2018-12,Media,Titles Added
2,2018-12,Media,Volumes Added
1,2018-12,Media,Volumes Added
51,2018-12,Book,Titles Added
51,2018-12,Book,Volumes Added